csv,LINK,lang,attribution_url,attribution_name,license,file_name,download_from
roudouryokujoutai.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,roudouryokujoutai,http://linkdata.org/work/rdf1s2661i
160710sangiinhirei.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,160710echizenshisangiinhirei,
senkyoninmeibo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1211sennkyoninnmeibo,http://linkdata.org/work/rdf1s4375i
0528syugiinhirei.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,180524syugiinhirei,
shichoubetsujinkoudoutai.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0211shichoubetsujinkoudoutai,http://linkdata.org/work/rdf1s2636i
gikaikatsudouhugi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gikaikatsudouhugi,http://linkdata.org/work/rdf1s4377i
jinkoudoutai_shakaizougen.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0210jinkoudoutai_shakaizougen,http://linkdata.org/work/rdf1s2645i
0602toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0602toukeinenkan,
joujyuchi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,joujyuchiniyorushugyoushasu,http://linkdata.org/work/rdf1s2640i
0221toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0221toukeinenkan,
jyuminkihondaicyojinko.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,R2jyuminkihondaicyojinko,http://linkdata.org/work/rdf1s1731i
chikubetsujinkou.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0221toukeinenkan,
